 1 21 0
 3.42095 20.4454 0.0571833


 1 21 0
 3.74404 19.9823 0.607004


 1 21 0
 4.33012 20.0603 -0.0863669


 1 21 0
 4.64441 19.3647 0.0155018


 1 21 0
 4.29308 19.5335 0.638901


 1 21 0
 4.90423 19.6386 -0.028822


 1 21 0
 4.39233 19.7669 0.699091


 1 21 0
 4.41745 19.2227 0.109082


 1 21 0
 4.31563 20.0105 -0.322616


 1 21 0
 3.52245 19.7669 -1.53713


 1 21 0
 4.36526 19.3824 -0.961276


 1 21 0
 4.05941 20.0885 -0.316546


 1 21 0
 4.01438 19.758 -0.947594


 1 21 0
 4.21114 19.0934 -1.21399


 1 21 0
 3.53977 19.8594 0.0489741


 1 21 0
 3.77587 19.6684 0.0163691


 1 21 0
 3.76745 19.9536 -1.37214


 1 21 0
 4.04496 19.9817 -1.46873


 1 21 0
 4.25214 20.1634 -1.16378


 1 21 0
 3.03956 19.5792 -0.356247


 1 21 0
 3.17444 19.6236 -0.0964521


 1 21 0
 3.42116 20.3754 -0.690291


 1 21 0
 3.24137 20.2636 -0.466627


 1 21 0
 3.72138 19.9798 0.0725203


 1 21 0
 3.59705 20.3353 -1.05113


 1 21 0
 3.44656 21.1289 0.0654365


 1 21 0
 3.99509 20.6244 -0.231946


 1 21 0
 3.58708 20.3788 0.66506


 1 21 0
 4.03652 20.7727 -0.24537


 1 21 0
 3.64495 20.4335 0.0497078


 1 21 0
 3.74117 20.6335 0.0920866


 1 21 0
 3.45143 20.5465 -0.915926


 1 21 0
 3.90943 20.6032 -0.636132


 1 21 0
 3.4304 21.0298 -0.355503


 1 21 0
 3.32549 20.602 0.0227728


 1 21 0
 3.61961 20.7375 -0.419969


 1 21 0
 3.94869 20.6407 0.0398203


 1 21 0
 3.38612 20.9488 -0.108025


 1 21 0
 3.3246 20.5506 -0.719825


 1 21 0
 3.58666 20.9873 -0.0357513


 1 21 0
 3.73346 20.5616 0.347073


 1 21 0
 3.33279 20.1648 0.105983


 1 21 0
 3.13267 20.5817 -0.650721


 1 21 0
 3.48779 20.7654 0.300907


 1 21 0
 4.36347 20.6215 1.23539


 1 21 0
 4.24044 20.3956 -0.72816


 1 21 0
 4.46846 20.2777 1.74696


 1 21 0
 4.59185 20.8857 -0.019511


 1 21 0
 4.05685 20.672 0.88378


 1 21 0
 4.3374 20.3028 -0.243093


 1 21 0
 4.2774 20.6923 0.00123104


 1 21 0
 4.11793 20.2438 0.26267


 1 21 0
 4.03415 20.6508 0.337888


 1 21 0
 2.38659 20.5522 1.15206


 1 21 0
 3.01624 20.3023 -0.107415


 1 21 0
 2.19827 19.9501 0.250961


 1 21 0
 2.79232 20.5254 -0.380072


 1 21 0
 2.51773 20.0592 -0.720664


 1 21 0
 2.54167 20.4404 -0.17975


 1 21 0
 2.71 20.0368 0.0557693


 1 21 0
 2.65902 20.2434 -0.628616


 1 21 0
 2.61638 20.1511 -0.481168


 1 21 0
 2.81873 19.9766 0.700493


 1 21 0
 3.14089 19.9942 0.546254


 1 21 0
 2.64738 20.2278 -0.107745


 1 21 0
